case,rows,ok_rows,non_ok_rows,corr_min,corr_median,corr_mean,corr_max,bias_new_minus_old_min,bias_new_minus_old_median,bias_new_minus_old_mean,bias_new_minus_old_max,rmse_min,rmse_median,rmse_mean,rmse_max,max_abs_diff_min,max_abs_diff_median,max_abs_diff_mean,max_abs_diff_max
0003-02,29,29,0,0.9753837218824264,0.979769785093131,0.9796772483123221,0.9821695796404858,7.521625554153718e-05,0.0001427412460746,0.00015551936934752892,0.0002693903992839,0.0027153808124458,0.0029553901663602,0.0029641520044884203,0.0034114100235225,0.0294945020247859,0.0393674186957369,0.04063305716547245,0.064889575512494
0003-03,30,30,0,0.97376488252281,0.9778062471442153,0.9778169508084887,0.9834647524986344,3.571558828188963e-05,0.0001248648712855,0.00013115581535878173,0.0002179542780269,0.0021027791706404,0.0025845797415011,0.00257820244851398,0.0028685392978557,0.0313009250816761,0.0355069935788504,0.03685104416333347,0.0481527990620614
0008-01,30,30,0,0.9772606147709324,0.9801993424421713,0.9803288740325702,0.98346546388399,-3.6326458967027975e-05,9.195234501572881e-05,7.963115775124869e-05,0.0002254417883754,0.0029709596831342,0.00327917883689995,0.003279703806436427,0.0036498062835457,0.0346270122137096,0.0403383467249365,0.041810237435402305,0.0544567559050536
0008-02,30,30,0,0.9758734379706648,0.9811262912153598,0.9805323113153742,0.9839684090787516,1.2524044717637432e-05,0.0001049044561165,0.00011376844874160198,0.0002232322836556,0.0028941935188344,0.0032307838961139496,0.0032422383347389403,0.0036588031232936,0.0412405678804657,0.050959178697767546,0.05223628428382163,0.0701841121097318
0008-02_NOCOUPL,30,30,0,0.9770139938656232,0.9807410285190377,0.9805071070384586,0.9835509776065852,-3.0100866913413707e-06,0.00013515113754615,0.0001318362216736582,0.0002417057157532,0.0026544051381277,0.0029858119861183004,0.002993135823605493,0.0033016679953925,0.0387367699351882,0.04259946096229605,0.043786954053626176,0.0535880451707791
0008-02_v2,30,30,0,0.9799041324105768,0.9832189915078524,0.9831132263081606,0.9862941112210364,-5.369451028076746e-05,3.141178694479478e-05,3.2478972151909954e-05,9.840496346744004e-05,0.0023753490669679,0.00285915566317,0.002885938685696987,0.0031573556251307,0.0265920123806079,0.041241809232945556,0.04103071105820976,0.0562995364910054
0008-02_v3,30,30,0,0.9763523003403096,0.9813496960636034,0.981407419893398,0.9847305408625722,2.920178388736565e-05,0.00012009978845395,0.00012108866530161006,0.0002172143968505,0.0026240318347191,0.0029618555551707,0.00296339317312513,0.00351847859053,0.0394127941199925,0.041765892561167944,0.04372613965331144,0.0581670847641953
0008-03,30,30,0,0.9759847636287448,0.9804789452234379,0.9804100025418883,0.9850410779357628,-4.723522589924506e-05,9.16544128591602e-05,8.45989424470674e-05,0.0001668796773507,0.0022232812754724,0.00254244152366635,0.0025253049129683506,0.0027584042834604,0.0367357485010621,0.0436529256919152,0.04525095283636502,0.0587633446072949
0008-03_NOCOUPL,30,30,0,0.9742582410042436,0.9794021944708514,0.9791206536938094,0.9840625903341238,5.759755566958715e-05,0.0001376501917058,0.0001416639308286849,0.0002337467217631,0.002170563844202,0.00248176831047735,0.002492827278116377,0.0027468642401207,0.0311396424677384,0.0346313507844783,0.0362371665834796,0.0487267035952738
0008-03_v2,30,30,0,0.9784169730728464,0.9813303251706312,0.9814156330955031,0.9849617806282278,1.9550485310627694e-05,7.724033757549115e-05,8.60252801005022e-05,0.0001572582977774,0.0024294757239999,0.0027069195475742,0.0027185330310491996,0.0029726766250361,0.0321484741393553,0.0386917119118401,0.039247881159101175,0.0483624968273442
0008-03_v3,30,30,0,0.9719507820895898,0.9794172300142259,0.9791472117669789,0.983002010817986,4.961343701927914e-05,0.000126894083839,0.00013123878701542185,0.0002324192074072,0.0023231281855374,0.00255814468461435,0.002569212584646194,0.0029836376877588,0.0310684095589868,0.035500488392636295,0.03658086488413252,0.0472986952377543
0008-04_v2,30,30,0,0.9629421847937908,0.9696958308943593,0.9699238482157969,0.9752251165481796,2.360153531845181e-05,0.0001712430430025,0.00016298028231509186,0.0002336553491311,0.0022176291751182,0.00243849257143565,0.0024342965184084198,0.0027121475965522,0.0323775583751384,0.037366265618024294,0.03789154740732521,0.0477480889895817
0013-02,30,30,0,0.9725020240753144,0.9779462460853958,0.9783983089769054,0.9847207132128646,6.252136485484593e-07,0.00014988208968865,0.0001420416665339117,0.0002245530396892,0.0022379461269499,0.00306287866876355,0.003023418781022247,0.0034684837085281,0.0389042168371215,0.04265377077260875,0.0445188424748104,0.0549446159508331
0013-02_NOCOUPL,30,30,0,0.9736464308590664,0.9796069703630987,0.9796760814440001,0.9847325356832064,3.662482197946144e-05,0.0001255125864003,0.0001265130564197042,0.0002181661201924,0.0025006871090858,0.0028618567997802,0.002888294019795017,0.0032954137071837,0.0381626617439008,0.0415548746666441,0.0432944874264629,0.0593273707233991
0013-03,30,30,0,0.9712662341970788,0.9741100383576108,0.9740964680625172,0.9771028454159364,8.000564467948543e-05,0.00017100818057724998,0.00016563575709057458,0.0002849488655964,0.0027652646986866,0.00290261250903555,0.00294102173591942,0.0033007623495003,0.0441078890823336,0.0458988948164373,0.04608493757631681,0.0480904315930963
0013-03_NOCOUPL,30,30,0,0.9692267041051053,0.9754799886214174,0.9750902172102887,0.9777230979828484,6.0218957822965824e-05,0.00016608935786215,0.00016297114712170705,0.0002364880643911,0.0026738876695371,0.0028738477966951496,0.002888423015182917,0.0032840779081719,0.0435801759741387,0.0461710139093066,0.04599363132687438,0.0479894186572431
0014-02,30,30,0,0.9741187075601292,0.9798254953924608,0.9792744646660995,0.982309980615942,1.3059880669072223e-05,9.396809950670429e-05,0.00010474197828895692,0.00021132460661,0.002588940021167,0.0028770749995091502,0.0029167198583336597,0.0032482180842368,0.0320752284438245,0.0403373142503812,0.042756741533405786,0.0752454202595857
0014-02_NOCOUPL,30,30,0,0.9757298746488532,0.9800833297187688,0.9799614960751505,0.9842668825650986,3.1701751950541776e-06,8.155908744136392e-05,9.782059528989445e-05,0.0001992640176463,0.0024862700125303,0.0028509846900967,0.0028463505870802205,0.0032805938106949,0.0308460489869773,0.039712019150230204,0.03936125194557772,0.0483969790149933
0014-03,30,30,0,0.9697784171214416,0.974350218643999,0.9744307273248408,0.9794654573321486,5.439713333968098e-06,0.00011749391942530001,0.00012463595258177185,0.0002079132172674,0.002209166655402,0.0025722984779986,0.002607490698071773,0.0029342194289869,0.0458111611904303,0.0490534792333481,0.04904321293151745,0.0509809913620001
0014-03_NOCOUPL,30,30,0,0.9676357430706224,0.9746242052883949,0.9744325407369163,0.9788855944763086,3.05809380194691e-05,0.00011287804511775,0.00011570920423487809,0.0001806315284611,0.0022773540891475,0.0025480536403935,0.0025635791719411734,0.0029468477623743,0.0473406190439101,0.048899608922072305,0.048951713933828085,0.0508618264697099
0019-02,30,30,0,0.981268057273922,0.9839695263539125,0.984050511953203,0.9870829638612496,-8.672586856511699e-05,6.07606375188331e-05,5.917365371181646e-05,0.0001826177513787,0.0024014108780936,0.00286372152406375,0.002835430608575559,0.0032538280509647,0.0366410427674742,0.03943002828495955,0.040618916495368834,0.0514887157050645
0019-02_NOCOUPL,30,30,0,0.9809654676640944,0.9835324554987717,0.984078423990621,0.987284400817276,-4.8914707705908605e-05,3.995508608629675e-05,5.444536142935386e-05,0.0001842304489314,0.0023783658406341,0.0027800433065044,0.0027900820812342495,0.0031374319142177,0.0366677284713359,0.0393321381453891,0.03958683297642402,0.0481990660367403
